StartID;EndID;Strassentyp;Distanz
1;2;B156;4.2
2;3;B156;7.2
3;4;B156;8.7
4;5;B156;2.6
5;6;B156;2.7
6;7;B156;5.1
7;8;B156;6.1
8;9;B156;7.4
9;10;B150;2.1
1;11;B147;7.5
11;13;B147;6.9
12;13;B147;1.9
13;14;B147;4.9
14;15;B147;0.8
15;16;B147;4
16;17;B147;7.2
17;18;B147;3.8
18;19;B1;3.9
19;20;B1;7.2
20;21;B1;5.4
21;10;B1;8.2
1;22;B148;4.3
22;23;B148;8.2
23;24;B141;5
24;25;B131;5.2
2;26;L;6.9
3;26;L;5.9
26;27;L;5.2
27;5;L;5
3;11;L;3.7
3;13;L;4.6
3;28;L;4.2
13;28;L;2.4
28;14;L;4.1
5;29;L;3.2
28;29;L;6.7
15;29;L;8
15;30;L;1.9
30;31;L;2.2
30;32;L;3.9
32;33;L;2
33;34;L;3.4
34;35;L;1.9
35;18;L;2.4
16;34;L;4.9
33;36;L;5.1
36;37;L;2.5
37;8;L;7.6
36;38;L;3.9
38;19;L;4.9
37;39;L;5
20;39;L;4.1
21;39;L;1.9
37;40;L;6.1
40;9;L;2.4
40;10;L;5.2
39;40;L;3.2
11;43;L;2.9
13;43;B142;4.9
43;41;B142;3.2
43;42;B142;3.2
42;23;B142;3.4
43;12;L;5.1
41;44;L;3.1
44;45;L;3.4
45;46;L;3.4
46;47;L;3.9
47;25;L;3
45;23;L;5
44;23;L;6
46;48;L;4.7
48;14;L;5.2
48;49;L;4.7
49;15;L;6.8
49;46;L;4.2
